YYYY  MM  DD  HH  mn     Hs(m)     Tp(s)  TheH(°N)   WS(m/s)  Thew(°N)
2005   3  21   6   0     2.130     6.300   170.890     9.321   183.814
2005   3  21   9   0     2.300     6.300   170.860    10.290   184.347
2005   3  21  12   0     2.460     6.500   172.730    11.713   184.898
2005   3  21  15   0     2.720     6.800   177.010    11.453   186.014
2005   3  21  18   0     3.060     7.080   179.870    13.506   178.345
2005   3  21  21   0     3.310     7.560   187.130    13.691   183.853
2005   3  22   0   0     3.360     7.790   187.790    13.562   181.098
2005   3  22   3   0     3.420     8.110   192.950    11.490   180.000
2005   3  22   6   0     3.450     8.180   190.790    13.502   170.580
2005   3  22   9   0     3.420     8.180   188.840    12.844   174.281
2005   3  22  12   0     3.380     8.190   187.290    13.182   174.908
2005   3  22  15   0     3.460     8.230   185.690    12.163   173.296
2005   3  22  18   0     3.590     8.320   184.520    13.442   173.679
2005   3  22  21   0     3.730     8.460   183.960    13.020   179.516
2005   3  23   0   0     3.810     8.780   186.860    13.743   178.833
2005   3  23   3   0     3.990     8.920   185.270    12.370   180.000
2005   3  23   6   0     4.040     8.960   184.700    13.830   184.894
2005   3  23   9   0     3.730     8.890   184.000    13.296   190.093
2005   3  23  12   0     3.210     8.500   178.910    12.224   202.054
2005   3  23  15   0     2.700     8.210   177.660     7.094   207.721
2005   3  23  18   0     2.300     7.850   175.720     7.564   201.239
2005   3  23  21   0     2.010     7.420   174.720     8.981   207.450
2005   3  24   0   0     1.820     7.110   175.440     9.168   219.245
2005   3  24   3   0     1.690     6.740   175.960     6.050   214.767
2005   3  24   6   0     1.640    10.400   250.040     4.912   196.074
2005   3  24   9   0     1.680    10.010   249.770     7.451   194.297
2005   3  24  12   0     1.710     9.840   249.690     7.540   192.174
2005   3  24  15   0     1.770    13.260   250.820     7.018   189.597
2005   3  24  18   0     1.830    12.780   251.080     8.282   173.553
2005   3  24  21   0     1.850    12.050   251.730     7.524   181.752
2005   3  25   0   0     1.820    11.940   250.840     7.890   179.710
2005   3  25   3   0     1.740    11.790   250.210     6.685   166.858
2005   3  25   6   0     1.700    11.140   249.920     6.296   159.838
2005   3  25   9   0     1.700    15.050   254.020     6.587   163.326
2005   3  25  12   0     1.720    14.690   254.450     6.491   168.898
2005   3  25  15   0     1.700    14.410   254.840     5.497   168.138
2005   3  25  18   0     1.660    13.840   254.310     5.013   141.804
2005   3  25  21   0     1.590    13.320   254.210     3.366   134.759
2005   3  26   0   0     1.510    13.010   254.090     3.653    97.709
2005   3  26   3   0     1.420    12.370   253.200     2.987    63.349
2005   3  26   6   0     1.380    12.040   253.050     5.297    50.208
2005   3  26   9   0     1.380    11.790   252.820     7.637    40.007
2005   3  26  12   0     1.380    11.180   252.270     7.628    50.425
2005   3  26  15   0     1.340    10.900   251.880     6.538    55.532
2005   3  26  18   0     1.280    10.710   251.420     5.455    76.320
2005   3  26  21   0     1.250    10.450   252.090     6.377    70.201
2005   3  27   0   0     1.240     5.340    53.850     5.951    65.158
2005   3  27   3   0     1.200     5.340    49.110     4.828    58.812
2005   3  27   6   0     1.150     6.610     5.720     6.285    52.109
